d13C,d15N
-19.82,10.86
-18.07,13.14
-20.7,10.05
-19.37,11.06
-21.14,9.01
-21.25,9.63
-20.98,10.25
-20.4,10.79
-19.96,11.03
-23.34,6.9
-23.06,7.57
-22.1,8.2
-20.81,9.89
-19.75,10.74
-17.73,13.66
-18.24,13.09
-18.74,12.47
-19.23,11.95
-16.78,14.29
-21.17,10.5
-20.7,10.98
-21.07,10.32
-19.07,12.14
-21.53,10.23
-18.32,12.87
-17.32,13.8
-18.39,13.03
-23.48,8.1
-22.82,9.1
-22.19,9.77
-22.35,7.31
-21.7,8.19
-22.25,7.9
-22.57,7.62
-22.08,8.18
-21.73,8.36
-17.56,13.26
-17.68,12.74
-18.43,13.16
-18.12,12.68